ISO_3_Code,Country,Total_Medals
AUT,Austria,5
BEL,Belgium,10
CHE,Switzerland,8
DEU,Germany,33
FRA,France,64
NLD,Netherlands,34
DNK,Denmark,9
GBR,United Kingdom,65
IRL,Ireland,7
LTU,Lithuania,4
NOR,Norway,8
SWE,Sweden,11
BGR,Bulgaria,7
CZE,Czech Republic,5
HUN,Hungary,19
MDA,Moldova,4
POL,Poland,10
ROU,Romania,9
SVK,Slovakia,1
UKR,Ukraine,12
ALB,Albania,2
CYP,Cyprus,1
ESP,Spain,18
GRC,Greece,8
HRV,Croatia,7
ITA,Italy,40
KOS,Kosovo,2
PRT,Portugal,4
SRB,Serbia,5
SVN,Slovenia,3
CIV,Ivory Coast,1
CPV,Cape Verde,1
DZA,Algeria,3
EGY,Egypt,3
MAR,Morocco,2
TUN,Tunisia,3
ETH,Ethiopia,4
KEN,Kenya,11
UGA,Uganda,2
ZMB,Zambia,1
BWA,Botswana,2
ZAF,South Africa,6
ARM,Armenia,4
AZE,Azerbaijan,7
BHR,Bahrain,4
GEO,Georgia,7
ISR,Israel,7
JOR,Jordan,1
QAT,Qatar,1
TUR,Turkey,8
CHN,China,91
HKG,Hong Kong S.A.R.,4
JPN,Japan,45
KOR,South Korea,32
MNG,Mongolia,1
PRK,North Korea,6
TWN,Taiwan,7
IND,India,6
IRN,Iran,12
PAK,Pakistan,1
KAZ,Kazakhstan,7
KGZ,Kyrgyzstan,6
TJK,Tajikistan,3
UZB,Uzbekistan,13
IDN,Indonesia,3
MYS,Malaysia,2
PHL,Philippines,4
SGP,Singapore,1
THA,Thailand,6
FJI,Fiji,1
AUS,Australia,53
NZL,New Zealand,20
GTM,Guatemala,2
MEX,Mexico,5
PAN,Panama,1
CUB,Cuba,9
DMA,Dominica,1
DOM,Dominican Republic,3
GRD,Grenada,2
JAM,Jamaica,6
LCA,Saint Lucia,2
PRI,Puerto Rico,2
CAN,Canada,27
USA,United States of America,126
ARG,Argentina,3
BRA,Brazil,20
CHL,Chile,2
COL,Colombia,4
ECU,Ecuador,5
PER,Peru,1
